Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant Compare At Price,Image Src,SEO Title,SEO Description,Variant SKU,Variant Barcode,Variant Inventory Policy,Variant Fulfillment Service
brass-gear-engineer,Brass Gear Engineer,<p>Showcase your engineering spirit with this detailed brass gear robot design</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"robots, tee-shirts, steampunk, engineering, brass, printful",TRUE,Size,S,Color,Black,,,39.99,,https://images.pexels.com/photos/6045031/pexels-photo-6045031.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Brass Gear Engineer - Steampunk Robot T-Shirt,Showcase your engineering spirit with this detailed brass gear robot design on a high-quality t-shirt,BGE-S-BLACK,,continue,printful
brass-gear-engineer,Brass Gear Engineer,<p>Showcase your engineering spirit with this detailed brass gear robot design</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"robots, tee-shirts, steampunk, engineering, brass, printful",TRUE,Size,M,Color,Black,,,39.99,,https://images.pexels.com/photos/6045031/pexels-photo-6045031.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Brass Gear Engineer - Steampunk Robot T-Shirt,Showcase your engineering spirit with this detailed brass gear robot design on a high-quality t-shirt,BGE-M-BLACK,,continue,printful
brass-gear-engineer,Brass Gear Engineer,<p>Showcase your engineering spirit with this detailed brass gear robot design</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"robots, tee-shirts, steampunk, engineering, brass, printful",TRUE,Size,L,Color,Black,,,39.99,,https://images.pexels.com/photos/6045031/pexels-photo-6045031.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Brass Gear Engineer - Steampunk Robot T-Shirt,Showcase your engineering spirit with this detailed brass gear robot design on a high-quality t-shirt,BGE-L-BLACK,,continue,printful
brass-gear-engineer,Brass Gear Engineer,<p>Showcase your engineering spirit with this detailed brass gear robot design</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"robots, tee-shirts, steampunk, engineering, brass, printful",TRUE,Size,XL,Color,Black,,,39.99,,https://images.pexels.com/photos/6045031/pexels-photo-6045031.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Brass Gear Engineer - Steampunk Robot T-Shirt,Showcase your engineering spirit with this detailed brass gear robot design on a high-quality t-shirt,BGE-XL-BLACK,,continue,printful
brass-gear-engineer,Brass Gear Engineer,<p>Showcase your engineering spirit with this detailed brass gear robot design</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"robots, tee-shirts, steampunk, engineering, brass, printful",TRUE,Size,2XL,Color,Black,,,41.99,,https://images.pexels.com/photos/6045031/pexels-photo-6045031.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Brass Gear Engineer - Steampunk Robot T-Shirt,Showcase your engineering spirit with this detailed brass gear robot design on a high-quality t-shirt,BGE-2XL-BLACK,,continue,printful
steampunk-airship-navigator,Steampunk Airship Navigator,<p>Navigate the skies in style with this airship-themed hoodie</p><p>Premium quality hoodie with DTG printing. Made-to-order to ensure freshness and reduce waste. Machine washable.</p>,RoboInk,Hoodies,"vehicles, hoodies, steampunk, airship, featured, printful",TRUE,Size,S,Color,Black,,,54.99,,https://images.pexels.com/photos/6045028/pexels-photo-6045028.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Steampunk Airship Navigator Hoodie,Navigate the skies in style with this airship-themed steampunk hoodie,SAN-S-BLACK,,continue,printful
steampunk-airship-navigator,Steampunk Airship Navigator,<p>Navigate the skies in style with this airship-themed hoodie</p><p>Premium quality hoodie with DTG printing. Made-to-order to ensure freshness and reduce waste. Machine washable.</p>,RoboInk,Hoodies,"vehicles, hoodies, steampunk, airship, featured, printful",TRUE,Size,M,Color,Black,,,54.99,,https://images.pexels.com/photos/6045028/pexels-photo-6045028.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Steampunk Airship Navigator Hoodie,Navigate the skies in style with this airship-themed steampunk hoodie,SAN-M-BLACK,,continue,printful
steampunk-airship-navigator,Steampunk Airship Navigator,<p>Navigate the skies in style with this airship-themed hoodie</p><p>Premium quality hoodie with DTG printing. Made-to-order to ensure freshness and reduce waste. Machine washable.</p>,RoboInk,Hoodies,"vehicles, hoodies, steampunk, airship, featured, printful",TRUE,Size,L,Color,Black,,,54.99,,https://images.pexels.com/photos/6045028/pexels-photo-6045028.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Steampunk Airship Navigator Hoodie,Navigate the skies in style with this airship-themed steampunk hoodie,SAN-L-BLACK,,continue,printful
steampunk-airship-navigator,Steampunk Airship Navigator,<p>Navigate the skies in style with this airship-themed hoodie</p><p>Premium quality hoodie with DTG printing. Made-to-order to ensure freshness and reduce waste. Machine washable.</p>,RoboInk,Hoodies,"vehicles, hoodies, steampunk, airship, featured, printful",TRUE,Size,XL,Color,Black,,,54.99,,https://images.pexels.com/photos/6045028/pexels-photo-6045028.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Steampunk Airship Navigator Hoodie,Navigate the skies in style with this airship-themed steampunk hoodie,SAN-XL-BLACK,,continue,printful
steampunk-airship-navigator,Steampunk Airship Navigator,<p>Navigate the skies in style with this airship-themed hoodie</p><p>Premium quality hoodie with DTG printing. Made-to-order to ensure freshness and reduce waste. Machine washable.</p>,RoboInk,Hoodies,"vehicles, hoodies, steampunk, airship, featured, printful",TRUE,Size,2XL,Color,Black,,,58.99,,https://images.pexels.com/photos/6045028/pexels-photo-6045028.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Steampunk Airship Navigator Hoodie,Navigate the skies in style with this airship-themed steampunk hoodie,SAN-2XL-BLACK,,continue,printful
mechanical-owl-companion,Mechanical Owl Companion,<p>Enjoy your morning brew with this wise mechanical owl companion</p><p>Premium ceramic mug with vibrant sublimation printing. Dishwasher and microwave safe. Made-to-order.</p>,RoboInk,Mugs,"clockwork-creatures, mugs, steampunk, owl, mechanical, printful",TRUE,Size,11oz,,,,,,24.99,,https://images.pexels.com/photos/6045215/pexels-photo-6045215.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Mechanical Owl Companion Mug,MOC-11,,,continue
mechanical-owl-companion,Mechanical Owl Companion,<p>Enjoy your morning brew with this wise mechanical owl companion</p><p>Premium ceramic mug with vibrant sublimation printing. Dishwasher and microwave safe. Made-to-order.</p>,RoboInk,Mugs,"clockwork-creatures, mugs, steampunk, owl, mechanical, printful",TRUE,Size,15oz,,,,,,26.99,,https://images.pexels.com/photos/6045215/pexels-photo-6045215.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Mechanical Owl Companion Mug,MOC-15,,,continue
steam-engine-typography,Steam Engine Typography,<p>Inspiring steampunk quotes rendered in Victorian typography</p><p>Museum-quality poster printed on thick matte paper. Giclée printing quality. Made-to-order.</p>,RoboInk,Posters,"typographic-treasures, posters, steampunk, typography, victorian, printful",TRUE,Size,8x10,,,,,,18.99,,https://images.pexels.com/photos/6045020/pexels-photo-6045020.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Steam Engine Typography Poster,SET-8X10,,,continue
steam-engine-typography,Steam Engine Typography,<p>Inspiring steampunk quotes rendered in Victorian typography</p><p>Museum-quality poster printed on thick matte paper. Giclée printing quality. Made-to-order.</p>,RoboInk,Posters,"typographic-treasures, posters, steampunk, typography, victorian, printful",TRUE,Size,16x20,,,,,,28.99,,https://images.pexels.com/photos/6045020/pexels-photo-6045020.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Steam Engine Typography Poster,SET-16X20,,,continue
steam-engine-typography,Steam Engine Typography,<p>Inspiring steampunk quotes rendered in Victorian typography</p><p>Museum-quality poster printed on thick matte paper. Giclée printing quality. Made-to-order.</p>,RoboInk,Posters,"typographic-treasures, posters, steampunk, typography, victorian, printful",TRUE,Size,24x36,,,,,,39.99,,https://images.pexels.com/photos/6045020/pexels-photo-6045020.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Steam Engine Typography Poster,SET-24X36,,,continue
retro-future-vision,Retro Future Vision,<p>Carry your essentials in this retro-futuristic designed tote</p><p>Durable canvas tote with reinforced stitching. DTG printed design. Machine washable. Made-to-order.</p>,RoboInk,Tote Bags,"retro-futurism, tote-bags, steampunk, retro, futuristic, printful",TRUE,Size,Default,,,,,,29.99,,https://images.pexels.com/photos/6045242/pexels-photo-6045242.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Retro Future Vision Tote Bag,RFV-STD,,,continue
cogwheel-skull-design,Cogwheel Skull Design,<p>Protect your phone with this edgy mechanical skull design</p><p>Durable case with precise cutouts. Scratch-resistant print. Made-to-order for your specific phone model.</p>,RoboInk,Phone Cases,"skulls, phone-cases, steampunk, mechanical, edgy, printful",TRUE,Model,iPhone 14,,,,,,28.99,,https://images.pexels.com/photos/6045033/pexels-photo-6045033.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Cogwheel Skull Phone Case,CSD-IP14,,,continue
cogwheel-skull-design,Cogwheel Skull Design,<p>Protect your phone with this edgy mechanical skull design</p><p>Durable case with precise cutouts. Scratch-resistant print. Made-to-order for your specific phone model.</p>,RoboInk,Phone Cases,"skulls, phone-cases, steampunk, mechanical, edgy, printful",TRUE,Model,iPhone 15,,,,,,28.99,,https://images.pexels.com/photos/6045033/pexels-photo-6045033.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Cogwheel Skull Phone Case,CSD-IP15,,,continue
cogwheel-skull-design,Cogwheel Skull Design,<p>Protect your phone with this edgy mechanical skull design</p><p>Durable case with precise cutouts. Scratch-resistant print. Made-to-order for your specific phone model.</p>,RoboInk,Phone Cases,"skulls, phone-cases, steampunk, mechanical, edgy, printful",TRUE,Model,Samsung S23,,,,,,28.99,,https://images.pexels.com/photos/6045033/pexels-photo-6045033.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Cogwheel Skull Phone Case,CSD-SS23,,,continue
victorian-time-machine,Victorian Time Machine,<p>A stunning canvas print of an elaborate Victorian time machine</p><p>Gallery-wrapped canvas with UV-resistant inks. Ready to hang. Made-to-order in multiple sizes.</p>,RoboInk,Canvas Prints,"gadgetry-gizmos, canvas-prints, steampunk, victorian, time-machine, printful",TRUE,Size,16x20,,,,,,54.99,,https://images.pexels.com/photos/6045241/pexels-photo-6045241.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Time Machine Canvas Print,VTM-16X20,,,continue
victorian-time-machine,Victorian Time Machine,<p>A stunning canvas print of an elaborate Victorian time machine</p><p>Gallery-wrapped canvas with UV-resistant inks. Ready to hang. Made-to-order in multiple sizes.</p>,RoboInk,Canvas Prints,"gadgetry-gizmos, canvas-prints, steampunk, victorian, time-machine, printful",TRUE,Size,24x30,,,,,,74.99,,https://images.pexels.com/photos/6045241/pexels-photo-6045241.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Time Machine Canvas Print,VTM-24X30,,,continue
victorian-gentleman-portrait,Victorian Gentleman Portrait,<p>A distinguished Victorian gentleman design for the modern steampunk enthusiast</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"victorian-vanguard, tee-shirts, steampunk, victorian, featured, printful",TRUE,Size,S,Color,Black,,,32.99,,https://images.pexels.com/photos/6045028/pexels-photo-6045028.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Gentleman Portrait T-Shirt,A distinguished Victorian gentleman design for the modern steampunk enthusiast,VGP-S-BLACK,,continue,printful
victorian-gentleman-portrait,Victorian Gentleman Portrait,<p>A distinguished Victorian gentleman design for the modern steampunk enthusiast</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"victorian-vanguard, tee-shirts, steampunk, victorian, featured, printful",TRUE,Size,M,Color,Black,,,32.99,,https://images.pexels.com/photos/6045028/pexels-photo-6045028.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Gentleman Portrait T-Shirt,A distinguished Victorian gentleman design for the modern steampunk enthusiast,VGP-M-BLACK,,continue,printful
victorian-gentleman-portrait,Victorian Gentleman Portrait,<p>A distinguished Victorian gentleman design for the modern steampunk enthusiast</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"victorian-vanguard, tee-shirts, steampunk, victorian, featured, printful",TRUE,Size,L,Color,Black,,,32.99,,https://images.pexels.com/photos/6045028/pexels-photo-6045028.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Gentleman Portrait T-Shirt,A distinguished Victorian gentleman design for the modern steampunk enthusiast,VGP-L-BLACK,,continue,printful
victorian-gentleman-portrait,Victorian Gentleman Portrait,<p>A distinguished Victorian gentleman design for the modern steampunk enthusiast</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"victorian-vanguard, tee-shirts, steampunk, victorian, featured, printful",TRUE,Size,XL,Color,Black,,,32.99,,https://images.pexels.com/photos/6045028/pexels-photo-6045028.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Gentleman Portrait T-Shirt,A distinguished Victorian gentleman design for the modern steampunk enthusiast,VGP-XL-BLACK,,continue,printful
victorian-gentleman-portrait,Victorian Gentleman Portrait,<p>A distinguished Victorian gentleman design for the modern steampunk enthusiast</p><p>This design is digitally printed using eco-friendly inks on high-quality materials. Made-to-order to reduce waste.</p>,RoboInk,Tee Shirts,"victorian-vanguard, tee-shirts, steampunk, victorian, featured, printful",TRUE,Size,2XL,Color,Black,,,34.99,,https://images.pexels.com/photos/6045028/pexels-photo-6045028.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Gentleman Portrait T-Shirt,A distinguished Victorian gentleman design for the modern steampunk enthusiast,VGP-2XL-BLACK,,continue,printful
custom-design-request,Custom Design Request,<p>Commission a one-of-a-kind steampunk design tailored to your vision. Our artists will work with you to bring your ideas to life.</p><p>This is a design service - final product pricing will be quoted separately based on your chosen items.</p>,RoboInk,Custom,"custom-requests, custom, steampunk, commission, printful",TRUE,Type,Custom Design,,,,,,50.00,,/src/assets/CUSTOM.png,Custom Steampunk Design Commission,CDR-CUSTOM,,,deny
