Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant Compare At Price,Variant Inventory Qty,Image Src,SEO Title,SEO Description
airship-captain-baseball-cap,Airship Captain Baseball Cap,"<p>Command the skies with this airship captain themed baseball cap</p>",RoboInk,Baseball Caps,"vehicles, baseball-caps, steampunk, airship, captain",TRUE,Size,Default,26.99,,100,https://images.pexels.com/photos/6045020/pexels-photo-6045020.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Airship Captain Baseball Cap,Command the skies with this airship captain themed steampunk baseball cap
steam-train-backpack,Steam Train Backpack,"<p>Carry your gear in style with this steam train themed backpack</p>",RoboInk,Backpacks,"vehicles, backpacks, steampunk, steam-train",TRUE,Size,Default,54.99,,100,https://images.pexels.com/photos/6045241/pexels-photo-6045241.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Steam Train Steampunk Backpack,Carry your gear in style with this steam train themed steampunk backpack
dirigible-pilot-sticker-pack,Dirigible Pilot Sticker Pack,"<p>Decorate your belongings with this dirigible pilot themed sticker pack</p>",RoboInk,Stickers,"vehicles, stickers, steampunk, dirigible, pilot",TRUE,Size,Default,12.99,,100,https://images.pexels.com/photos/6045033/pexels-photo-6045033.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Dirigible Pilot Sticker Pack,Decorate your belongings with this dirigible pilot themed steampunk sticker pack
mechanical-cat-pillow,Mechanical Cat Pillow,"<p>Cozy up with this mechanical cat themed decorative pillow</p>",RoboInk,Pillows,"clockwork-creatures, pillows, steampunk, mechanical, cat",TRUE,Size,Default,32.99,,100,https://images.pexels.com/photos/6311387/pexels-photo-6311387.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Mechanical Cat Steampunk Pillow,Cozy up with this mechanical cat themed steampunk decorative pillow
brass-bird-pet-bandana,Brass Bird Pet Bandana,"<p>Dress your pet in steampunk style with this brass bird themed bandana</p>",RoboInk,Pet Bandana,"clockwork-creatures, pet-bandana, steampunk, brass, bird",TRUE,Size,Default,18.99,,100,https://images.pexels.com/photos/6045028/pexels-photo-6045028.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Brass Bird Pet Bandana,Dress your pet in steampunk style with this brass bird themed bandana
gear-wolf-blanket,Gear Wolf Blanket,"<p>Stay warm with this gear wolf themed blanket featuring intricate steampunk design</p>",RoboInk,Blankets,"clockwork-creatures, blankets, steampunk, gear, wolf",TRUE,Size,Default,58.99,,100,https://images.pexels.com/photos/6045031/pexels-photo-6045031.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Gear Wolf Steampunk Blanket,Stay warm with this gear wolf themed blanket featuring intricate steampunk design
victorian-gear-wall-art,Victorian Gear Wall Art,"<p>Decorate your space with this Victorian gear themed wall art</p>",RoboInk,Wall Art,"gadgetry-gizmos, wall-art, steampunk, victorian, gear",TRUE,Size,Default,42.99,,100,https://images.pexels.com/photos/6045215/pexels-photo-6045215.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Victorian Gear Wall Art,Decorate your space with this Victorian gear themed steampunk wall art
steampunk-clock-metal-print,Steampunk Clock Metal Print,"<p>Premium metal print featuring an intricate steampunk clock design</p>",RoboInk,Metal Prints,"gadgetry-gizmos, metal-prints, steampunk, clock",TRUE,Size,Default,67.99,,100,https://images.pexels.com/photos/6045242/pexels-photo-6045242.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Steampunk Clock Metal Print,Premium metal print featuring an intricate steampunk clock design
brass-gear-coaster-set,Brass Gear Coaster Set,"<p>Protect your furniture with this stylish brass gear themed coaster set</p>",RoboInk,Coasters,"gadgetry-gizmos, coasters, steampunk, brass, gear",TRUE,Size,Default,22.99,,100,https://images.pexels.com/photos/6045020/pexels-photo-6045020.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Brass Gear Coaster Set,Protect your furniture with this stylish brass gear themed steampunk coaster set
custom-design-request,Custom Design Request,"<p>Commission a one-of-a-kind steampunk design tailored to your vision. Our artists will work with you to bring your ideas to life.</p>",RoboInk,Custom,"custom-requests, custom, steampunk, commission",TRUE,Type,Custom Design,50.00,,1,/src/assets/CUSTOM.png,Custom Steampunk Design Commission,Commission a one-of-a-kind steampunk design tailored to your vision with our custom design service
